,New (Shinjitai),English meaning
0,一,one
5,音,sound
11,気,feeling
16,空,sky
19,見,see
21,口,mouth
26,子,child
32,車,car
33,手,hand
35,出,exit
37,小,small
39,森,forest
40,人,person
41,水,water
43,生,life
46,石,stone
50,先,previous
51,早,early
53,足,foot
55,大,large
58,中,middle
65,日,day
66,入,enter
67,年,year
72,木,tree
74,名,name
75,目,eye
76,立,stand up
77,力,power
81,羽,feather
85,何,what
88,家,house
91,回,times
95,外,outside
96,角,angle
97,楽,pleasure
99,間,interval
110,強,strong
111,教,teach
112,近,near
115,計,measure
117,言,say
118,原,field
122,後,behind
126,広,wide
128,光,ray
130,行,go
131,高,"tall, expensive"
137,今,now
146,思,think
149,自,oneself
150,時,time
158,書,write
159,少,few
162,食,"eat, meal"
163,心,heart
169,声,voice
176,前,in front
181,体,body
185,知,know
188,長,long
189,鳥,bird
192,通,pass through
196,電,electricity
199,当,hit
202,頭,head
203,同,same
204,道,road
216,風,wind
217,分,"part, minute of time"
218,聞,hear
227,明,bright
228,鳴,chirp
230,門,gates
231,夜,night
232,野,field
233,友,friend
234,用,use
236,来,come
238,理,reason
239,話,talk
240,悪,bad
245,意,idea
246,育,nurture
248,院,institution
259,界,world
267,起,wake up
270,究,research
283,具,tool
284,君,you
288,決,decide
289,研,sharpen
293,向,over there
303,始,begin
304,指,finger
305,歯,tooth
307,次,next
308,事,abstract thing
309,持,hold
311,実,truth
313,者,someone
316,取,take
324,住,dwelling
327,所,place
329,助,help
343,世,world
346,全,whole
348,送,send
353,他,other
355,対,opposite
356,待,wait
359,題,topic
363,着,wear
368,調,investigate
370,定,decide
374,転,revolve
376,度,degrees
377,投,throw
383,動,move
402,秒,second (part of time)
403,病,sick
404,品,article
405,負,lose
409,物,thing
411,返,return
412,勉,exertion
417,問,question
418,役,service
424,予,in advance
432,旅,trip
460,街,street
484,協,cooperation
487,極,poles
502,好,like
509,最,most
519,残,remainder
520,士,gentleman
526,治,govern
529,借,borrow
534,初,first
554,戦,war
555,選,choose
562,続,continue
564,孫,grandchild
567,達,attain
568,単,simple
570,仲,relationship
586,得,acquire
592,博,Dr.
594,飛,fly
606,別,separate
608,変,change
612,望,hope
616,未,not yet
623,養,foster
628,料,fee
634,例,example
650,応,respond
662,格,status
672,技,skill
673,義,righteousness
678,許,permit
688,険,precipitous
702,講,lecture
706,災,disaster
729,修,discipline
731,術,art
738,状,form
744,性,gender
755,絶,discontinue
770,態,condition
777,適,suitable
778,敵,enemy
805,編,compile
811,防,prevent
816,迷,astray
842,簡,simplicity
852,勤,diligence
858,激,violent
874,刻,engrave
878,砂,sand
879,座,sit
886,私,me
897,収,take in
923,宣,proclaim
926,洗,wash
953,痛,pain
1010,握,grip
1011,扱,handle
1023,違,differ
1102,壊,demolition
1148,喚,yell
1208,巨,gigantic
1221,狭,cramped
1263,傾,lean
1275,撃,beat
1295,幻,phantasm
1321,攻,aggression
1336,硬,stiff
1377,催,sponsor
1534,辛,spicy
1543,寝,lie down
1557,炊,cook
1627,壮,robust
1677,濯,laundry
1697,遅,slow
1843,拍,clap
1878,彼,he
1905,怖,dreadful
1973,冒,risk
2010,眠,sleep
2017,免,excuse
2031,闇,darkness
2093,療,heal
2104,戻,re-
